OBJECTID,ROW_TYPE,GEOGRAPHY,GEOGRAPHY_ID,CALENDAR_YEAR,CALENDAR_MONTH,OFFENSE_DESCRIPTION,OFFENSE_COUNT
24270,Neighborhood Profile Area,125,125,2016,02,Aggravated Assault-Gun,1
24274,Neighborhood Profile Area,164,164,2016,06,Aggravated Assault-Gun,1
24300,Neighborhood Profile Area,140,140,2016,05,Aggravated Assault-Gun,3
24318,Neighborhood Profile Area,185,185,2016,04,Aggravated Assault-Gun,1
24324,Neighborhood Profile Area,258,258,2016,01,Aggravated Assault-Gun,3
24363,Neighborhood Profile Area,72,72,2016,12,Aggravated Assault-Other Weapon,1
24382,Neighborhood Profile Area,103,103,2016,01,"Aggravated Assault-Fists,Feet, etc.",1
24391,Neighborhood Profile Area,207,207,2016,07,Aggravated Assault-Other Weapon,1
24403,Neighborhood Profile Area,342,342,2016,07,Aggravated Assault-Other Weapon,2
24412,Neighborhood Profile Area,342,342,2016,07,Aggravated Assault-Knife,1
24413,Neighborhood Profile Area,342,342,2016,12,Aggravated Assault-Other Weapon,2
24446,Neighborhood Profile Area,10,10,2016,09,Aggravated Assault-Knife,1
24465,Neighborhood Profile Area,60,60,2016,03,"Aggravated Assault-Fists,Feet, etc.",1
24476,Neighborhood Profile Area,270,270,2016,03,Aggravated Assault-Gun,1
24491,Neighborhood Profile Area,316,316,2016,11,Aggravated Assault-Gun,1
24505,Neighborhood Profile Area,323,323,2016,11,Aggravated Assault-Gun,6
24513,Neighborhood Profile Area,39,39,2016,01,Aggravated Assault-Gun,1
24530,Neighborhood Profile Area,128,128,2016,02,Aggravated Assault-Gun,1
24534,Neighborhood Profile Area,327,327,2016,06,Aggravated Assault-Other Weapon,1
24536,Neighborhood Profile Area,125,125,2016,08,Aggravated Assault-Gun,8
24570,Neighborhood Profile Area,280,280,2016,05,Aggravated Assault-Gun,1
24575,Neighborhood Profile Area,341,341,2016,12,Aggravated Assault-Knife,1
24595,Neighborhood Profile Area,124,124,2016,08,Aggravated Assault-Knife,1
24631,Neighborhood Profile Area,114,114,2016,02,Aggravated Assault-Other Weapon,1
24669,Neighborhood Profile Area,267,267,2016,11,Aggravated Assault-Knife,1
24671,Neighborhood Profile Area,306,306,2016,06,Aggravated Assault-Gun,5
24673,Neighborhood Profile Area,40,40,2016,02,Aggravated Assault-Other Weapon,1
24679,Neighborhood Profile Area,329,329,2016,08,Aggravated Assault-Gun,1
24701,Neighborhood Profile Area,337,337,2016,06,Aggravated Assault-Other Weapon,1
24702,Neighborhood Profile Area,79,79,2016,10,Aggravated Assault-Gun,1
24710,Neighborhood Profile Area,199,199,2016,01,Aggravated Assault-Other Weapon,1
24723,Neighborhood Profile Area,50,50,2016,08,Aggravated Assault-Gun,1
24742,Neighborhood Profile Area,343,343,2016,05,Aggravated Assault-Knife,1
24776,Neighborhood Profile Area,147,147,2016,04,Aggravated Assault-Gun,1
24781,Neighborhood Profile Area,326,326,2016,07,Aggravated Assault-Knife,1
24793,Neighborhood Profile Area,361,361,2016,07,Aggravated Assault-Knife,1
24799,Neighborhood Profile Area,40,40,2016,07,Aggravated Assault-Other Weapon,1
24859,Neighborhood Profile Area,52,52,2016,12,Aggravated Assault-Gun,1
24860,Neighborhood Profile Area,23,23,2016,05,Aggravated Assault-Other Weapon,1
24894,Neighborhood Profile Area,16,16,2016,01,Aggravated Assault-Gun,1
24900,Neighborhood Profile Area,341,341,2016,09,Aggravated Assault-Other Weapon,1
24909,Neighborhood Profile Area,2,2,2016,10,Aggravated Assault-Gun,1
24923,Neighborhood Profile Area,26,26,2016,09,"Aggravated Assault-Fists,Feet, etc.",1
24944,Neighborhood Profile Area,390,390,2016,04,Aggravated Assault-Knife,2
24949,Neighborhood Profile Area,382,382,2016,01,Aggravated Assault-Knife,1
24959,Neighborhood Profile Area,3,3,2016,07,"Aggravated Assault-Fists,Feet, etc.",1
24960,Neighborhood Profile Area,3,3,2016,12,"Aggravated Assault-Fists,Feet, etc.",1
24990,Neighborhood Profile Area,137,137,2016,06,Aggravated Assault-Gun,3
24996,Neighborhood Profile Area,163,163,2016,07,Aggravated Assault-Other Weapon,1
25005,Neighborhood Profile Area,34,34,2016,03,Aggravated Assault-Gun,4
25010,Neighborhood Profile Area,18,18,2016,05,Aggravated Assault-Gun,1
25013,Neighborhood Profile Area,394,394,2016,11,Aggravated Assault-Other Weapon,1
25021,Neighborhood Profile Area,229,229,2016,09,Aggravated Assault-Other Weapon,1
25023,Neighborhood Profile Area,139,139,2016,04,Aggravated Assault-Gun,2
25034,Neighborhood Profile Area,88,88,2016,03,Aggravated Assault-Knife,1
25041,Neighborhood Profile Area,100,100,2016,08,Aggravated Assault-Other Weapon,1
25049,Neighborhood Profile Area,61,61,2016,09,Aggravated Assault-Other Weapon,1
25058,Neighborhood Profile Area,125,125,2016,06,Aggravated Assault-Other Weapon,1
25059,Neighborhood Profile Area,158,158,2016,04,Aggravated Assault-Gun,2
25061,Neighborhood Profile Area,123,123,2016,02,"Aggravated Assault-Fists,Feet, etc.",1
25134,Neighborhood Profile Area,381,381,2016,11,Aggravated Assault-Knife,1
25172,Neighborhood Profile Area,219,219,2016,10,"Aggravated Assault-Fists,Feet, etc.",1
25199,Neighborhood Profile Area,229,229,2016,05,Aggravated Assault-Gun,1
25218,Neighborhood Profile Area,53,53,2016,09,Aggravated Assault-Gun,2
25227,Neighborhood Profile Area,124,124,2016,07,Aggravated Assault-Other Weapon,2
25234,Neighborhood Profile Area,12,12,2016,11,Aggravated Assault-Gun,1
25238,Neighborhood Profile Area,74,74,2016,09,"Aggravated Assault-Fists,Feet, etc.",2
25252,Neighborhood Profile Area,179,179,2016,10,Aggravated Assault-Other Weapon,1
25290,Neighborhood Profile Area,53,53,2016,06,Aggravated Assault-Gun,1
25343,Neighborhood Profile Area,138,138,2016,01,Aggravated Assault-Other Weapon,1
25363,Neighborhood Profile Area,340,340,2016,09,Aggravated Assault-Gun,4
25382,Neighborhood Profile Area,79,79,2016,11,Aggravated Assault-Knife,1
25386,Neighborhood Profile Area,361,361,2016,05,Aggravated Assault-Gun,3
25389,Neighborhood Profile Area,70,70,2016,06,"Aggravated Assault-Fists,Feet, etc.",1
25422,Neighborhood Profile Area,384,384,2016,09,Aggravated Assault-Knife,1
25462,Neighborhood Profile Area,385,385,2016,06,Aggravated Assault-Gun,8
25473,Neighborhood Profile Area,123,123,2016,06,Aggravated Assault-Gun,3
25476,Neighborhood Profile Area,371,371,2016,03,Aggravated Assault-Gun,3
25496,Neighborhood Profile Area,30,30,2016,06,Aggravated Assault-Gun,2
